Country Name,Country Code,Mortality_2018,Electricity_2018,CO2percap_2018,Electr_Cons_2014,gdppc_2020
South Sudan,SSD,96.2,6.187970161,0.125729734,43.58172834,
Sub-Saharan Africa,SSF,78.1,45.83511708,0.763618494,487.3282404,1499.412813
Small states,SST,43.32424163,81.62508776,5.859845144,,10770.58978
Sao Tome and Principe,STP,30.9,71.0,0.663406498,,2157.840446
Suriname,SUR,18.5,97.4,3.611192614,3596.745217,4916.605666
Slovak Republic,SVK,5.9,100.0,6.058635474,5137.073835,19266.51357
Slovenia,SVN,2.2,100.0,6.774695332,6727.999302,25517.33067
Sweden,SWE,2.7,100.0,3.538009127,13480.14822,52274.40879
Eswatini,SWZ,55.3,74.10943604,0.959275668,,3424.282212
Sint Maarten (Dutch part),SXM,,100.0,,,
Seychelles,SYC,14.5,100.0,6.407474008,,10764.42042
Syrian Arab Republic,SYR,22.1,86.0,1.647087511,974.5754718,
Turks and Caicos Islands,TCA,,100.0,,,23879.92665
Chad,TCD,117.7,10.12151718,0.069131598,,659.270045
East Asia & Pacific (IDA & IBRD countries),TEA,15.5723458,98.36506543,5.754705895,3068.006223,8346.03881
Europe & Central Asia (IDA & IBRD countries),TEC,11.59502273,99.98370004,7.142551871,4231.201774,8387.390693
Togo,TGO,69.1,50.0,0.286471389,154.6652373,914.9507925
Thailand,THA,9.4,99.82,3.714039204,2538.795713,7186.874092
Tajikistan,TJK,34.8,99.3,0.80541954,1499.485994,859.1379611
Turkmenistan,TKM,42.4,100.0,12.25964817,2678.765474,
Latin America & the Caribbean (IDA & IBRD countries),TLA,16.90379626,97.7473978,2.614462991,2170.572385,7035.753075
Timor-Leste,TLS,45.6,89.03410339,0.504741813,,1442.730738
Middle East & North Africa (IDA & IBRD countries),TMN,24.27399389,95.58886634,3.861347119,1702.878547,3015.703551
Tonga,TON,16.8,99.13130188,1.841103111,,4624.823449
South Asia (IDA & IBRD),TSA,42.14723531,92.36122729,1.526651238,705.3221659,1823.712912
Sub-Saharan Africa (IDA & IBRD countries),TSS,78.07412136,45.83511708,0.763618494,487.3282404,1499.412813
Trinidad and Tobago,TTO,18.1,100.0,12.77844012,7092.958644,15425.63511
Tunisia,TUN,17.0,99.8,2.592258865,1454.643076,3521.591948
Turkey,TUR,10.7,100.0,5.01541837,2847.223893,8536.43332
Tuvalu,TUV,24.7,99.89904785,0.86918731,,4143.109753
Tanzania,TZA,51.8,35.22945023,0.205634733,103.681778,1076.470385
Uganda,UGA,48.0,42.7,0.143462178,,822.0276815
Ukraine,UKR,8.6,100.0,4.154180631,3418.569317,3726.927149
Upper middle income,UMC,13.9,99.23984975,6.236807615,3566.252931,9177.840437
Uruguay,URY,7.5,99.8,1.890244079,3085.189883,15438.41167
United States,USA,6.6,100.0,15.24087458,12993.96558,63413.51386
Uzbekistan,UZB,18.4,100.0,3.401191282,1645.441629,1750.697113
St. Vincent and the Grenadines,VCT,15.1,100.0,2.540604301,,7278.016297
